clubName,Golf Initiation Fee,Annual Golf Dues,Other Fee,Other Dues,SFH Minimum,SFH Maximum,Condos Minimum,Condos Maximum
arrowhead-golf-course,$500,"$3,700",N/A,N/A,"$359,900","$749,000","$196,950","$344,000"
audubon-country-club,"$125,000","$16,773","$62,500","$10,064","$1,270,000","$7,995,000","$825,000","$989,000"
bay-colony-golf,"$75,000","$22,200",0,"$11,100","$6,999,000","$16,000,000",0,0
bears-paw-country-club,"$100,000","$14,884","$20,000","$6,847","$1,550,000","$2,750,000","$560,000","$1,100,000"
bentley-village-golf-club,0,0,N/A,N/A,N/A,N/A,N/A,N/A
bonita-bay-club-east,"$150,000 Full Membership, $70,000 Bonita Bay East Only","$12,120",N/A,N/A,0,0,0,0
calusa-pines-golf-club,"$245,000","$33,300",N/A,N/A,0,0,0,0
cedar-hammock-golf-country-club,Bundled,"$8,307",N/A,N/A,"$900,000","$1,360,000","$370,000","$660,000"
colliers-reserve-country-club,"$150,000","$19,940","$80,000","$13,559","$2,195,000","$3,450,000",0,0
country-club-of-naples,"$150,000","$18,034",N/A,N/A,0,0,0,0
countryside-golf-country-club,Bundled,"$3,750",N/A,N/A,"$525,000","$899,000","$210,000","$440,000"
cypress-woods-golf-country-club,0,0,N/A,N/A,"$659,000","$875,000","$215,000","$515,000"
eagle-creek-country-club,0,0,"$40,000","$9,021","$800,000","$2,100,000","$200,000","$875,000"
eagle-lakes-golf-club-2,0,0,N/A,N/A,0,0,N/A,N/A
esplanade-golf-country-club,Bundled,"$11,562",N/A,N/A,"$1,050,000","$3,495,000","$433,000","$1,595,000"
evergreen-golf-and-country-club,N/A,"$2,200",N/A,N/A,0,0,0,0
fiddlers-creek,"$350,000 (refundable)","$16,300","$18,000","$3,540","$595,000","$4,200,000","$400,000","$1,900,000"
forest-glen-golf-country-club,0,0,N/A,N/A,"$610,000","$1,575,900","$315,000","$640,000"
foxfire-country-club,0,0,N/A,N/A,"$650,000","$1,269,000","$194,000","$491,000"
glades-country-club,0,0,N/A,N/A,0,0,"$165,000","$425,000"
glen-eagle-golf-country-club,0,0,"$7,600 – $8,800",N/A,"$520,000","$1,425,000","$245,000","$620,000"
golden-gate-golf-course,0,0,N/A,N/A,0,0,0,0
golf-club-of-the-everglades,"$60,000","$11,684","$8,000","$3,000","$999,000","$2,375,000",N/A,N/A
grey-oaks-golf-and-country-club,0,"$23,285","$100,000","$12,550","$2,190,000","$15,900,000","$1,995,000","$4,595,000"
hammock-bay-golf-country-club,0,0,"$25,000","$5,082",0,0,"$600,000","$1,395,000"
heritage-bay,Bundled,"$6,735","$9,900 – $12,500",N/A,"$797,000","$1,999,000","$300,000","$760,000"
hibiscus-golf-club,0,0,N/A,N/A,0,0,0,0
hideout-golf-club,0,0,"$15,000","$8,900",0,0,0,0
high-point-country-club,0,0,N/A,N/A,0,0,"$299,000","$417,000"
hole-in-the-wall-golf-club,"$150,000","$30,000",N/A,N/A,0,0,0,0
imperial-golf-estates,0,0,"$3,000","$2,195","$625,000","$1,890,000","$300,000","$750,000"
island-country-club,"$125,000","$17,000",N/A,N/A,0,0,0,0
kensington-golf-country-club,"$125,000","$21,252","$20,000","$7,396","$1,000,000","$3,100,000","$700,000","$1,200,000"
kinsale-golf-club,"$500,000","$20,000",N/A,N/A,0,0,0,0
lakewood-country-club,0,0,0,0,"$399,000","$760,000","$210,000","$398,000"
laplaya-beach-golf-resort,"$100,000","$12,714",0,"$8,383",0,0,0,0
lely-resort,"$75,000 (non-transferrable)","$11,940","$5,000","$1,020","$520,000","$3,500,000","$225,000","$999,000"
mediterra,"$250,000","$25,000",0,"$9,000","$2,395,000","$8,250,000","$1,350,000","$4,795,000"
moorings-country-club,"$40,000","$9,660",0,0,"$1,100,000","$13,750,000","$749,000","$8,700,000"
naples-beach-hotel-and-golf-club,Not Available,Not Available,Not Available,Not Available,0,0,0,0
naples-grande-golf-club,0,0,"$5,250","$5,250",0,0,0,0
naples-heritage-golf-club,0,0,N/A,N/A,"$625,000","$1,150,000","$190,000","$595,000"
naples-lakes-country-club,0,0,N/A,N/A,"$925,000","$1,490,000","$280,000","$775,000"
naples-national-golf-club,0,0,N/A,N/A,0,0,0,0
national-golf,Bundled,"$1,542",N/A,N/A,"$560,000","$922,000","$225,000","$381,000"
old-collier-golf-club,"$310,000","$21,500",N/A,N/A,0,0,0,0
olde-cypress,"$100,000","$16,225",$0,"$4,500","$905,000","$3,195,000",0,0
olde-florida-golf-club,0,0,N/A,N/A,0,0,0,0
panther-run-ave-maria,0,0,N/A,N/A,"$322,000","$849,000","$388,000","$429,000"
pelican-bay,Call for information,Call for information,Call for information,Call for information,"$1,750,000","$28,990,000","$520,000","$12,490,000"
pelican-marsh-golf-country-club,0,0,"$20,000","$5,340","$970,000","$10,950,000","$665,000","$1,410,000"
quail-creek-country-club,"$100,000","$21,436","$25,000","$9,923","$1,600,000","$6,350,000",0,0
quail-run-golf-club,Prices Vary,Prices Vary,N/A,N/A,0,0,0,0
quail-west-golf-country-club,0,0,"$70,000","$10,940","$2,400,000","$15,800,000",0,0
riviera-golf-club,0,0,N/A,N/A,"$115,000","$329,000",0,0
rookery,0,0,"$25,000","$5,082",0,0,0,0
royal-palm-country-club,0,0,"$2,000","$4,330",0,0,0,0
royal-wood-golf-country-club,Bundled,"$5,210",N/A,N/A,"$327,500","$555,000","$249,000","$300,000"
stonebridge-country-club,0,"$12,991",N/A,N/A,"$995,000","$1,550,000","$430,000","$1,089,000"
talis-park,"$150,000","$21,298","$38,250","$8,519","$2,700,000","$8,900,000","$1,350,000","$3,250,000"
strand-golf-country-club,0,0,"$5,000","$3,635","$950,000","$2,895,000","$485,000","$1,125,000"
the-quarry,0,0,"$1,200","$1,225","$800,000","$3,995,000","$579,000","$1,080,000"
tiburon-golf-club,"$185,000","$14,675","$40,000","$5,723","$2,180,000","$8,900,000","$900,000","$3,000,000"
treviso-bay,Bundled,"$3,758","$6,000 to $16,000",N/A,"$1,335,000","$3,925,000","$450,000","$1,049,000"
twin-eagle-golf-country-club,"$130,000","$15,750","$39,000","$4,725","$850,000","$3,100,000","$529,000","$725,000"
valencia-golf-and-country-club,"$4,896","$4,896",N/A,N/A,"$425,000","$1,970,000",0,0
vanderbilt-country-club,Bundled,"$9,598",N/A,N/A,"$675,000","$1,150,000","$335,000","$648,000"
vineyards-country-club,"$125,000","$14,505","$7,500","$4,945","$735,000","$4,499,000","$439,000","$1,500,000"
wilderness-country-club,"$130,000","$26,844",N/A,N/A,0,0,"$374,000","$1,100,000"
windstar-golf-club,"$100,000","$13,900","$10,000","$3,100","$988,500","$4,500,000","$475,000","$1,899,000"
wyndemere-country-club,"$125,000","$14,188","$125,000","$11,233","$990,000","$3,500,000","$479,000","$1,150,000"
